dataset,file,clf_acc,clf_f1,clf_mcc,clf_kappa,diff_acc,diff_f1
conll2009,Catalan.0bf4-closed.conllu.gz,0.723,0.3138,0.3055,0.2162,-0.20000000000000007,0.17090000000000002
conll2009,Catalan.0c01-closed.conllu.gz,0.7334,0.3455,0.3299,0.2438,-0.18169999999999997,0.18889999999999998
conll2009,Catalan.0ca3-closed.conllu.gz,0.7248,0.3137,0.3074,0.2172,-0.19910000000000005,0.17229999999999998
conll2009,Catalan.0e32-closed.conllu.gz,0.6792,0.536,0.408,0.3421,-0.1079,0.1849
conll2009,Catalan.15cb-closed.conllu.gz,0.7273,0.3211,0.3131,0.2236,-0.19480000000000008,0.1766
conll2009,Catalan.2cdc-closed.conllu.gz,0.7372,0.4229,0.3759,0.3024,-0.14700000000000002,0.2154
conll2009,Catalan.2cdc-open.conllu.gz,0.7372,0.4229,0.3759,0.3024,-0.14700000000000002,0.2154
conll2009,Catalan.38f2-closed.conllu.gz,0.7348,0.3889,0.352,0.2751,-0.1623,0.20230000000000004
conll2009,Catalan.3d6d-closed.conllu.gz,0.8267,0.648,0.5665,0.5409,0.016800000000000037,0.3286
conll2009,Catalan.4725-closed.conllu.gz,0.6957,0.3751,0.3272,0.2463,-0.19369999999999998,0.1759
conll2009,Catalan.48ec-closed.conllu.gz,0.711,0.8135,0.3217,0.2407,-0.19020000000000004,-0.13460000000000005
conll2009,Catalan.4c1a-closed.conllu.gz,0.7137,0.3397,0.322,0.2323,-0.1986,0.1785
conll2009,Catalan.4c1a-open.conllu.gz,0.7236,0.3426,0.3235,0.2373,-0.18930000000000002,0.1824
conll2009,Catalan.7dac-closed.conllu.gz,0.7291,0.3599,0.3352,0.252,-0.17870000000000008,0.191
conll2009,Catalan.88a9-closed.conllu.gz,0.7266,0.4248,0.3621,0.2948,-0.1483,0.20240000000000002
conll2009,Catalan.89c2-closed.conllu.gz,0.7502,0.4674,0.4016,0.341,-0.11540000000000006,0.2304
conll2009,Catalan.a7e6-closed.conllu.gz,0.7329,0.446,0.3829,0.3157,-0.13649999999999995,0.2149
conll2009,Catalan.adc5-closed.conllu.gz,0.7279,0.3411,0.3231,0.2376,-0.1865,0.1834
conll2009,Catalan.b09e-closed.conllu.gz,0.7641,0.4887,0.4248,0.3669,-0.09919999999999995,0.24820000000000003
conll2009,Catalan.d8dd-closed.conllu.gz,0.7003,0.4234,0.3581,0.2824,-0.16820000000000002,0.1909
conll2009,Catalan.dc13-closed.conllu.gz,0.7293,0.4893,0.4092,0.3461,-0.11610000000000009,0.22150000000000003
conll2009,Catalan.ddda-closed.conllu.gz,0.7118,0.37,0.3353,0.2518,-0.18669999999999998,0.1857
conll2009,Catalan.e5d8-closed.conllu.gz,0.7056,0.3939,0.3476,0.266,-0.18059999999999998,0.18959999999999996
conll2009,Chinese.0bf4-closed.conllu.gz,0.4438,0.332,0.2079,0.1112,-0.4043,0.06820000000000004
conll2009,Chinese.0c01-closed.conllu.gz,0.4392,0.3447,0.2103,0.1126,-0.3997,0.06730000000000003
conll2009,Chinese.0ca3-closed.conllu.gz,0.4295,0.3169,0.2024,0.1032,-0.4265,0.06520000000000004
conll2009,Chinese.0e32-closed.conllu.gz,0.52,0.4874,0.2777,0.1891,-0.22850000000000004,0.08550000000000002
conll2009,Chinese.15cb-closed.conllu.gz,0.4539,0.3464,0.211,0.1173,-0.3854,0.0695
conll2009,Chinese.2cdc-closed.conllu.gz,0.4611,0.3717,0.2194,0.1265,-0.36210000000000003,0.07119999999999999
conll2009,Chinese.2cdc-open.conllu.gz,0.4611,0.3717,0.2194,0.1265,-0.36210000000000003,0.07119999999999999
conll2009,Chinese.38f2-closed.conllu.gz,0.4616,0.3834,0.2267,0.1312,-0.35450000000000004,0.07280000000000003
conll2009,Chinese.3d6d-closed.conllu.gz,0.4547,0.3672,0.2253,0.1262,-0.3729,0.07320000000000004
conll2009,Chinese.4725-closed.conllu.gz,0.4541,0.3666,0.2166,0.1225,-0.3715,0.0696
conll2009,Chinese.48ec-closed.conllu.gz,0.5554,0.6658,0.2124,0.1431,-0.3016,-0.2572000000000001
conll2009,Chinese.4c1a-closed.conllu.gz,0.4363,0.3325,0.2064,0.1087,-0.4103,0.0665
