dataset,file,clf_acc,clf_f1,clf_mcc,clf_kappa,diff_acc,diff_f1
conll2009,Catalan.0bf4-closed.conllu.gz,0.5988,0.1703,0.0755,0.047,-0.32420000000000004,0.027400000000000008
conll2009,Catalan.0c01-closed.conllu.gz,0.6266,0.1761,0.0641,0.0441,-0.2885,0.019500000000000017
conll2009,Catalan.0ca3-closed.conllu.gz,0.5869,0.1643,0.0673,0.0409,-0.3370000000000001,0.022900000000000004
conll2009,Catalan.0e32-closed.conllu.gz,0.567,0.378,0.1402,0.117,-0.22010000000000007,0.02689999999999998
conll2009,Catalan.15cb-closed.conllu.gz,0.6004,0.1715,0.0749,0.047,-0.3217,0.027000000000000024
conll2009,Catalan.2cdc-closed.conllu.gz,0.663,0.2507,0.1173,0.0951,-0.22119999999999995,0.04319999999999999
conll2009,Catalan.2cdc-open.conllu.gz,0.663,0.2507,0.1173,0.0951,-0.22119999999999995,0.04319999999999999
conll2009,Catalan.38f2-closed.conllu.gz,0.6531,0.2121,0.0833,0.0646,-0.244,0.025500000000000023
conll2009,Catalan.3d6d-closed.conllu.gz,0.6616,0.3816,0.1943,0.1776,-0.1483,0.06219999999999998
conll2009,Catalan.4725-closed.conllu.gz,0.5848,0.2239,0.0836,0.0587,-0.3046,0.0247
conll2009,Catalan.48ec-closed.conllu.gz,0.6366,0.7608,0.1443,0.1032,-0.26459999999999995,-0.18730000000000002
conll2009,Catalan.4c1a-closed.conllu.gz,0.5897,0.1889,0.0797,0.0514,-0.3226,0.027700000000000002
conll2009,Catalan.4c1a-open.conllu.gz,0.6005,0.1871,0.0778,0.0511,-0.3124,0.02689999999999998
conll2009,Catalan.7dac-closed.conllu.gz,0.6034,0.2014,0.0896,0.0603,-0.3044,0.0325
conll2009,Catalan.88a9-closed.conllu.gz,0.5893,0.2474,0.0911,0.0676,-0.28559999999999997,0.025000000000000022
conll2009,Catalan.89c2-closed.conllu.gz,0.665,0.2727,0.1185,0.1017,-0.2006,0.03570000000000001
conll2009,Catalan.a7e6-closed.conllu.gz,0.6052,0.2653,0.1097,0.0842,-0.2642,0.03419999999999998
conll2009,Catalan.adc5-closed.conllu.gz,0.6119,0.1842,0.0764,0.051,-0.3025,0.026499999999999996
conll2009,Catalan.b09e-closed.conllu.gz,0.6608,0.2968,0.1489,0.1254,-0.2024999999999999,0.05630000000000002
conll2009,Catalan.d8dd-closed.conllu.gz,0.5973,0.2569,0.0941,0.0721,-0.2712,0.024400000000000005
conll2009,Catalan.dc13-closed.conllu.gz,0.6524,0.3174,0.1503,0.1301,-0.19300000000000006,0.04960000000000003
conll2009,Catalan.ddda-closed.conllu.gz,0.5871,0.2097,0.0807,0.0551,-0.3114,0.025400000000000006
conll2009,Catalan.e5d8-closed.conllu.gz,0.5847,0.2414,0.1064,0.0746,-0.3015,0.037099999999999994
conll2009,Chinese.0bf4-closed.conllu.gz,0.5145,0.2892,0.101,0.0694,-0.3336,0.025400000000000034
conll2009,Chinese.0c01-closed.conllu.gz,0.507,0.3044,0.1075,0.0739,-0.3319,0.027000000000000024
conll2009,Chinese.0ca3-closed.conllu.gz,0.5007,0.2779,0.0989,0.0647,-0.35529999999999995,0.0262
conll2009,Chinese.0e32-closed.conllu.gz,0.5343,0.4184,0.136,0.112,-0.21420000000000006,0.016500000000000015
conll2009,Chinese.15cb-closed.conllu.gz,0.5062,0.3029,0.1055,0.0725,-0.33310000000000006,0.026000000000000023
conll2009,Chinese.2cdc-closed.conllu.gz,0.5104,0.3256,0.111,0.0792,-0.3128000000000001,0.02510000000000001
conll2009,Chinese.2cdc-open.conllu.gz,0.5104,0.3256,0.111,0.0792,-0.3128000000000001,0.02510000000000001
conll2009,Chinese.38f2-closed.conllu.gz,0.5161,0.3385,0.1199,0.0872,-0.30000000000000004,0.027900000000000036
conll2009,Chinese.3d6d-closed.conllu.gz,0.5045,0.3117,0.0949,0.0672,-0.32310000000000005,0.017699999999999994
conll2009,Chinese.4725-closed.conllu.gz,0.5144,0.3288,0.1227,0.0871,-0.31120000000000003,0.031799999999999995
conll2009,Chinese.48ec-closed.conllu.gz,0.5068,0.6229,0.1203,0.0783,-0.35019999999999996,-0.30010000000000003
conll2009,Chinese.4c1a-closed.conllu.gz,0.5051,0.294,0.1061,0.0714,-0.3415,0.02799999999999997
conll2009,Chinese.4c1a-open.conllu.gz,0.5054,0.2942,0.1069,0.0719,-0.34130000000000005,0.028400000000000036
conll2009,Chinese.7dac-closed.conllu.gz,0.518,0.3029,0.1072,0.0753,-0.3218,0.0267
conll2009,Chinese.88a9-closed.conllu.gz,0.5098,0.329,0.1071,0.0773,-0.30879999999999996,0.02180000000000004
conll2009,Chinese.89c2-closed.conllu.gz,0.4992,0.2693,0.098,0.0629,-0.3629,0.026999999999999996
conll2009,Chinese.a7e6-closed.conllu.gz,0.5266,0.3597,0.1103,0.0863,-0.2651,0.014900000000000024
conll2009,Chinese.adc5-closed.conllu.gz,0.5002,0.2819,0.0954,0.0632,-0.35150000000000003,0.02360000000000001
